Player,Year,RSorPO,Age,Tm,G,FG%,3P%,2P%,FT%,TRB%,AST%,STL%,BLK%,PTS%
Kobe Bryant,2001-02,Playoffs,22,LAL,16,0.469,0.324,0.485,0.821,9.1,25.4,1.9,1.3,29.4
Kobe Bryant,2002-03,Playoffs,23,LAL,19,0.434,0.379,0.442,0.759,7.3,20.2,1.7,1.5,26.6
Kobe Bryant,2003-04,Playoffs,24,LAL,12,0.432,0.403,0.439,0.827,6.6,22.8,1.4,0.1,32.1
Kobe Bryant,2004-05,Playoffs,25,LAL,22,0.413,0.247,0.457,0.813,6.2,25.6,2.4,0.6,24.5
Kobe Bryant,2005-06,Playoffs,27,LAL,7,0.497,0.4,0.527,0.771,8.8,21.5,1.3,0.8,27.9
Kobe Bryant,2006-07,Playoffs,28,LAL,5,0.462,0.357,0.49,0.919,6.9,20,1.2,0.7,32.8
Kobe Bryant,2007-08,Playoffs,29,LAL,21,0.479,0.302,0.532,0.809,8,26.9,2.1,0.7,30.1
Kobe Bryant,2008-09,Playoffs,30,LAL,23,0.457,0.349,0.483,0.883,7.6,26,2.1,1.9,30.2
Kobe Bryant,2009-10,Playoffs,31,LAL,23,0.458,0.374,0.487,0.842,8.7,26,1.8,1.4,29.2
Kobe Bryant,2010-11,Playoffs,32,LAL,10,0.446,0.293,0.49,0.82,6,19.1,2.5,0.8,22.8
Kobe Bryant,2011-12,Playoffs,33,LAL,12,0.439,0.283,0.477,0.832,6.5,24,1.8,0.3,30
